smiles,ligand_id
c1ccc(cc1)CNC(=O)[C@H]([C@H](C[C@@H]2CCCNC2=O)NC(=O)[C@H](Cc3ccc(cc3)F)NC(=O)c4cc5ccccc5o4)O,06Q
c1ccc2c(c1)C(=O)NC(=N2)c3ccc(cc3)C(F)(F)F,06R
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O[C@@H]4[C@H](O[C@H]([C@@H]4O)N5C=CC(=O)NC5=O)COP(=O)(O)S)S)OP(=O)(O)S)O)NC(=NC2=O)N,06S
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H]([C@@H](CN(CC2)C(=O)[C@H](C)N)C)C)C(=O)N,06T
CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)c3ccncc3,06U
CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)N3CCOCC3,06V
CCc1c(c(nc(n1)N)N)C#C[C@@H](C)c2cc(cc(c2)OC)c3ccncc3,06W
CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,06X
c1ccc(cc1)OCC(=O)O,06Y
c1ccc(cc1)C(=O)c2c(nc(s2)Nc3cccc(c3)F)N,06Z
c1ccc(cc1)C[C@@H]2[C@H](O2)[C@@H]([C@H](Cc3ccccc3)N)O,070
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4cc(ccc4OC)N5CCN(CC5)C,071
CCCCCCC[C@H]1N(C(=O)[C@@H](S1)CC(=O)N(Cc2ccccc2)Cc3ccccc3)CCCCc4ccc(cc4)C(=O)O,072
COC(=O)c1ccc(cc1)[C@@](C\C=C\c2ccccc2)(Cc3ccc(cc3)C(F)(F)P(=O)(O)O)n4c5ccccc5nn4,073
CCCNC(=O)[C@H](CC(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(=O)O)O,074
CC1([C@H](N(CS1)C(=O)[C@H]([C@H](Cc2ccccc2)NC(=O)[C@H](CS(=O)(=O)C)NC(=O)COc3cccc4c3ccnc4)O)C(=O)N[C@H]5c6ccccc6C[C@H]5O)C,075
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H]([C@@H]2[C@H](O2)Cc3ccccc3)O)NC(=O)COc4ccccc4,076
c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O,077
c1ccc(cc1)C[C@@H]([C@H]([C@@H]([C@@H](Cc2ccccc2)O)N)O)N,078
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H]([C@@H]([C@@H](Cc2ccccc2)O)N)O)NC(=O)COc3ccccc3,079
COC(=O)[C@H]1C[C@@H]([C@H](C[C@@H]1C(=O)OC)O)O,07B
CSc1ncc2cc3cnccc3c(c2n1)[N+](=O)[O-],07C
CCc1c(c2n3c1C=C4C(=C5C(=O)[C@@H](C6=C7C(=C(C8=CC9=[N]([Mg]3(N87)[N]4=C65)C(=C2)C(=C9C)C(=O)C)C)CCC(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C(=O)OC)C)C,07D
C[C@@H](CCO[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O,07E
CC1=C(C(=O)N(C(=N1)c2cccc(c2O)F)CCc3ccccc3)Cc4ccccc4,07F
CC(C)(C)NC(=O)C(c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(c(c3)F)F)C=O,07G
c1ccc2c(c1)C=C(CO2)CN3CCN(CC3)C(=O)c4cccc(c4)c5ccn[nH]5,07H
C[C@H]1C[C@H]([C@H](O[C@H]1C/C=C(\C)/C=C/[C@@H]2CC(=CC(=O)O2)C)C)NC(=O)/C=C\[C@H](C)OC(=O)C,07I
CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl,07J
Cc1cccc2c1nccc2N,07K
c1cc2c(cc1O)OC(=O)C=C2,07L
c1cc(c(nc1)C#N)CSc2c3c(c(c(n2)O)C#N)CCOC3,07M
